,Medication,odds ratio,p-val,Count,95% CI (LL),95% CI (UL),Disease
0,"Acebutolol, Oral",3.606957996336216,3.420233558607639e-06,15,2.098915662873675,6.1985082190111775,Newborn Respiratory Distress Syndrome (RDS)
1,"Acebutolol, Oral",1.0351651176077328,0.8562881648955192,43,0.7121446321542593,1.5047039215479432,Neonatal Jaundice
2,"Acebutolol, Oral",3.721322612182401,1.5201326599165527e-08,23,2.360744697512948,5.866048115465096,Bronchopulmonary Dysplasia (BPD)
3,"Acebutolol, Oral",3.605309221871525,5.6494731095273446e-08,22,2.269326996068305,5.727801505834913,Other Respiratory Disorder
4,"Acetaminophen, Oral",1.1255059366095597,0.5789500795908203,23,0.7412902823460508,1.708863104658923,Kernicterus
5,"Acetaminophen, Oral",1.3443131221910152,4.318445893740246e-27,1465,1.2738999337517296,1.418618309503073,Transient Tachypnea of the Newborn (TTN)
6,"Acetaminophen, Oral",1.697732792430895,2.903819224216879e-103,1882,1.6180418245256367,1.781348659105404,Newborn Respiratory Distress Syndrome (RDS)
7,"Acetaminophen, Oral",1.2295934587062902,1.7563682123151394e-10,1033,1.153962906290282,1.310180825962334,Neonatal Sepsis
8,"Acetaminophen, Oral",1.5681984698119291,4.1634186203627854e-09,182,1.3497134595225095,1.822050764456693,Intraventricular Hemorrhage (IVH)
9,"Acetaminophen, Oral",1.8798619674168595,0.0010345311576248,29,1.2893478483922522,2.7408282574380105,Gestational Alloimmune Liver Disease (GALD)
10,"Acetaminophen, Oral",1.3164586195088088,0.0042540127598402,114,1.0902837809009789,1.5895524882951906,Neonatal Seizure
11,"Acetaminophen, Oral",1.4604401058651284,0.0092205474492451,50,1.098170980851292,1.9422160483297004,Necrotizing Enterocolitis (NEC)
12,"Acetaminophen, Oral",1.435997361087746,4.948842406120897e-06,169,1.2294449993999317,1.6772514606651263,Persistent Pulmonary Hypertension of the Newborn (PPHN)
13,"Acetaminophen, Oral",1.1152218822579267,0.0028100805347516,804,1.0382277561454092,1.197925830151591,Neonatal Hypoglycemia
14,"Acetaminophen, Oral",6.640069066276155,4.410031973544452e-112,178,5.6304743346248864,7.830693221311856,Neonatal Abstinence Syndrome (NAS)
15,"Acetaminophen, Oral",1.0041554410166338,0.9442774561589766,298,0.8939216066004622,1.1279827473439537,Neonatal Arrhythmia
16,"Acetaminophen, Oral",1.4688464849543166,6.920537390162471e-13,373,1.3225200481235833,1.6313627906236792,Neonatal Pneumonia
17,"Acetaminophen, Oral",1.1797984014802791,0.0181346548421207,215,1.028594086143853,1.3532298959190747,neonatal urinary tract infection (UTI)
18,"Acetaminophen, Oral",1.0828042874932675,5.3298729227479337e-11,11242,1.057376198617703,1.1088438784101196,Neonatal Jaundice
19,"Acetaminophen, Oral",0.9685235194277207,0.4966899460572256,476,0.8831983860484447,1.062091849920122,Small for Gestational Age (SGA)
20,"Acetaminophen, Oral",0.9356292236229166,0.0067375982881142,1829,0.8916645987948896,0.9817615786029328,Large for Gestational Age (LGA)
21,"Acetaminophen, Oral",0.5341288272447918,1.732778300081335e-36,419,0.4845436882250042,0.5887881960427411,Postmaturity Syndrome
